Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:43:44.7581883+03:00,
ExperimentId,20381e30-b1fb-406c-986d-967738505551,
RunLabel,G-H-01,
ExperimentStartedAtLocal,2026-08-29T21:43:13.8382411+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Hard,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,58,degC
PressureSetpoint,25,kPa
AutomaticFanSetpoint,90,%
RecipeTemperatureSetpoint,58,degC
RecipePressureSetpoint,25,kPa
RecipeFanSpeed,90,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
29,29,Preheating,28.9,600,21.9,22.0870092062,19.9,19.9844917484,58,101.3,101.3,101.3,0,24.9917510691,0.3331867018,9.868664029,66.8426887711,0.9994048485,180,0.0111075612,0.0000493561,0.0439027778,0.002199473,0.0500987207,1.7768582684,0.0065204908,0,0,0,0,100,0,0,90,false,false,false
30,30,Preheating,29.9,600,22,22.1560257718,20,19.9885804839,58,101.2,101.3,101.3,0.0987166831,24.9915685546,0.3331834578,9.9048403015,67.0745652412,0.9993916817,180,0.0108240559,0.0000480961,0.0454166667,0.0022481327,0.04950017,1.7905366945,0.0065691506,0,0,0,0,100,0,0,90,false,false,false
31,31,Preheating,30.9,600,22,22.224858353,20,19.9929324993,58,101.3,101.3,101.3,0,24.9913906819,0.3331802964,9.9398353506,67.2918226309,0.9993788499,180,0.0105495813,0.0000468763,0.0469305556,0.0022955547,0.0489138607,1.8038827395,0.0066165725,0,0,0,0,100,0,0,90,false,false,false
32,32,Preheating,31.9,600,22.2,22.2935080701,19.9,19.9975444056,58,101.3,101.3,101.3,0,24.9912173035,0.3331772148,9.9736916864,67.4950305758,0.9993663424,180,0.0102838127,0.0000456951,0.0484444444,0.0023417782,0.0483394575,1.8169068795,0.006662796,0,0,0,0,100,0,0,90,false,false,false
33,33,Preheating,32.9,600,22.2,22.3619760325,20,20.0024129,58,101.2,101.3,101.3,0.0987166831,24.9910482773,0.3331742106,10.0064498223,67.6847358198,0.9993541489,180,0.01002644,0.0000445513,0.0499583333,0.0023868412,0.0477766374,1.8296192178,0.006707859,0,0,0,0,100,0,0,90,false,false,false
34,34,Preheating,33.9,600,22.3,22.4302633388,20,20.0075347618,58,101.3,101.3,101.3,0,24.9908834659,0.3331712813,10.0381483984,67.8614632788,0.9993422595,180,0.0097771667,0.0000434435,0.0514722222,0.0024307803,0.0472250892,1.8420295018,0.0067517981,0,0,0,0,100,0,0,90,false,false,false
35,35,Preheating,34.9,600,22.4,22.4983710773,20,20.0129068496,58,101.3,101.3,101.3,0,24.9907227371,0.3331684246,10.0688242949,68.0257170445,0.9993306646,180,0.0095357098,0.0000423704,0.0529861111,0.0024736308,0.0466845131,1.8541471385,0.0067946486,0,0,0,0,100,0,0,90,false,false,false
36,36,Preheating,35.9,600,22.4,22.566300326,20,20.0185260973,58,101.3,101.3,101.3,0,24.990565963,0.3331656382,10.0985127371,68.1779813335,0.9993193551,180,0.0093017981,0.0000413309,0.0545,0.0025154268,0.04615462,1.8659812093,0.0068364446,0,0,0,0,100,0,0,90,false,false,false
37,37,Preheating,36.9,600,22.5,22.6340521529,20,20.0243895122,58,101.2,101.3,101.3,0.0987166831,24.9904130203,0.3331629199,10.1272473927,68.3187213842,0.999308322,180,0.0090751724,0.0000403238,0.0560138889,0.0025562012,0.0456351312,1.8775404845,0.006877219,0,0,0,0,100,0,0,90,false,false,false
38,38,Preheating,37.9,600,22.6,22.7016276163,20,20.0304941713,58,101.3,101.3,101.3,0,24.9902637899,0.3331602676,10.1550604616,68.4483843053,0.9992975568,180,0.0088555842,0.0000393479,0.0575277778,0.0025959857,0.0451257775,1.8888334358,0.0069170035,0,0,0,0,100,0,0,90,false,false,false
