Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:21:28.9616717+03:00,
ExperimentId,5e0fd802-4284-4709-b796-bd80d5132cf4,
RunLabel,W-N-01,
ExperimentStartedAtLocal,2026-08-29T21:20:22.7835320+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Wood,
Recipe,Normal,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,60,degC
PressureSetpoint,30,kPa
AutomaticFanSetpoint,70,%
RecipeTemperatureSetpoint,60,degC
RecipePressureSetpoint,30,kPa
RecipeFanSpeed,70,%
MaximumAllowedTemperature,80,degC
InitialWetMass,15,kg
DryMass,7.5,kg
InitialMoistureWetBasis,50,% wb
TargetMoistureWetBasis,12,% wb
DryingCoefficient,0.3,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
23,23,Preheating,22.9,600,21.5,21.672206002,20,19.9528201915,60,101.3,101.3,101.3,0,49.9932854076,0.9997314524,7.3337069902,66.5144671259,0.9997131423,140,0.0123516065,0.0000617414,0.0341805556,0.0020141072,0.0589255266,1.7239199137,0.0063351251,0,0,0,0,100,0,0,70,false,false,false
24,24,Preheating,23.9,600,21.5,21.7426260291,20,19.9547553235,60,101.4,101.3,101.3,0,49.9930827297,0.9997233475,7.3699662391,66.8801999995,0.9997044848,140,0.0120060672,0.0000600137,0.0356666667,0.002074894,0.058174599,1.7408769901,0.0063959119,0,0,0,0,100,0,0,70,false,false,false
25,25,Preheating,24.9,600,21.6,21.8128654674,19.9,19.9569819222,60,101.4,101.3,101.3,0,49.9928857139,0.999715469,7.4049641193,67.2250323575,0.9996960692,140,0.0116710492,0.0000583386,0.0371527778,0.0021339822,0.0574380252,1.7573784368,0.006455,0,0,0,-0,100,0,0,70,false,false,false
26,26,Preheating,25.9,600,21.7,21.8829254074,20,19.9594958587,60,101.3,101.3,101.3,0,49.9926941878,0.9997078102,7.4387477985,67.5497501347,0.9996878882,140,0.011346237,0.0000567146,0.0386388889,0.0021914235,0.0567154886,1.7734379952,0.0065124413,0,0,0,-0,100,0,0,70,false,false,false
27,27,Preheating,26.9,600,21.7,21.9528069281,20,19.9622931017,60,101.3,101.3,101.3,0,49.992507984,0.9997003643,7.4713622214,67.8551110856,0.9996799345,140,0.0110313254,0.0000551401,0.040125,0.0022472681,0.0560066809,1.7890689995,0.0065682859,0,0,0,-0,100,0,0,70,false,false,false
28,28,Preheating,27.9,600,21.9,22.0225110971,19.9,19.9653697142,60,101.2,101.3,101.3,0.0987166831,49.9923269403,0.9996931247,7.5028502493,68.1418458306,0.9996722014,140,0.010726019,0.0000536136,0.0416111111,0.0023015647,0.0553113015,1.8042843899,0.0066225826,0,0,0,-0,100,0,0,70,false,false,false
29,29,Preheating,28.9,600,21.8,22.092038971,20,19.9687218506,60,101.3,101.3,101.3,0,49.9921508992,0.9996860852,7.5332527881,68.4106588602,0.999664682,140,0.0104300317,0.0000521338,0.0430972222,0.0023543606,0.0546290579,1.8190967245,0.0066753785,0,0,0,-0,100,0,0,70,false,false,false
30,30,Preheating,29.9,600,22,22.1613915954,20,19.9723457544,60,101.3,101.3,101.3,0,49.991979708,0.9996792398,7.5626089059,68.662229498,0.9996573698,140,0.0101430866,0.0000506992,0.0445833333,0.0024057017,0.0539596647,1.8335181919,0.0067267196,0,0,0,-0,100,0,0,70,false,false,false
31,31,Preheating,30.9,600,22,22.2305700053,20,19.9762377552,60,101.3,101.3,101.3,0,49.9918132184,0.9996725823,7.5909559421,68.897212825,0.9996502584,140,0.0098649152,0.0000493084,0.0460694444,0.0024556324,0.053302844,1.8475606221,0.0067766503,0,0,0,-0,100,0,0,70,false,false,false
32,32,Preheating,31.9,600,22.1,22.2995752253,19.9,19.9803942661,60,101.3,101.3,101.3,0,49.9916512866,0.9996661072,7.6183296074,69.1162405665,0.9996433418,140,0.0095952577,0.0000479603,0.0475555556,0.0025041959,0.0526583248,1.8612354985,0.0068252137,0,0,0,-0,100,0,0,70,false,false,false
33,33,Preheating,32.9,600,22.2,22.3684082697,20,19.9848117815,60,101.3,101.3,101.3,0,49.991493773,0.9996598088,7.6447640768,69.3199219444,0.9996366139,140,0.0093338623,0.0000466534,0.0490416667,0.002551434,0.0520258429,1.8745539678,0.0068724519,0,0,0,-0,100,0,0,70,false,false,false
34,34,Preheating,33.9,600,22.2,22.4370701428,20,19.9894868746,60,101.3,101.3,101.3,0,49.9913405421,0.9996536817,7.670292075,69.5088444955,0.9996300691,140,0.0090804849,0.0000453867,0.0505277778,0.0025973875,0.0514051406,1.887526851,0.0069184054,0,0,0,-0,100,0,0,70,false,false,false
35,35,Preheating,34.9,600,22.2,22.505561839,20,19.9944161954,60,101.3,101.3,101.3,0,49.9911914626,0.9996477206,7.6949449568,69.6835748574,0.9996237015,140,0.008834889,0.0000441589,0.0520138889,0.0026420958,0.0507959665,1.9001646529,0.0069631136,0,0,0,-0,100,0,0,70,false,false,false
36,36,Preheating,35.9,600,22.5,22.573884343,20,19.9995964677,60,101.3,101.3,101.3,0,49.9910464068,0.9996419204,7.7187527804,69.8446595247,0.9996175059,140,0.0085968454,0.0000429688,0.0535,0.002685597,0.0501980757,1.912477572,0.0070066149,0,0,0,-0,100,0,0,70,false,false,false
37,37,Preheating,36.9,600,22.4,22.6420386302,20,20.005024488,60,101.3,101.3,101.3,0,49.9909052509,0.9996362762,7.7417443766,69.9926255748,0.9996114768,140,0.008366132,0.0000418154,0.0549861111,0.0027279285,0.0496112288,1.92447551,0.0070489464,0,0,0,-0,100,0,0,70,false,false,false
38,38,Preheating,37.9,600,22.5,22.7100256664,20,20.0106971227,60,101.3,101.3,101.3,0,49.9907678747,0.9996307832,7.7639474127,70.1279813669,0.9996056093,140,0.0081425331,0.0000406976,0.0564722222,0.0027691263,0.0490351927,1.9361680804,0.0070901441,0,0,0,-0,100,0,0,70,false,false,false
39,39,Preheating,38.9,600,22.6,22.7778464085,20,20.0166113064,60,101.3,101.3,101.3,0,49.9906341615,0.9996254366,7.7853884525,70.2512172129,0.9995998982,140,0.0079258401,0.0000396144,0.0579583333,0.0028092253,0.0484697396,1.9475646172,0.0071302432,0,0,0,-0,100,0,0,70,false,false,false
40,40,Preheating,39.9,600,22.6,22.8455018044,20,20.0227640398,60,101.3,101.3,101.3,0,49.9905039982,0.9996202321,7.8060930119,70.3628060244,0.9995943388,140,0.0077158502,0.0000385646,0.0594444444,0.0028482596,0.0479146474,1.9586741839,0.0071692774,0,0,0,-0,100,0,0,70,false,false,false
41,41,Preheating,40.9,600,22.8,22.9129927929,20,20.0291523881,60,101.3,101.3,101.3,0,49.9903772748,0.9996151651,7.8260856112,70.4632039334,0.9995889263,140,0.007512367,0.0000375474,0.0609305556,0.0028862621,0.047369699,1.9695055808,0.0072072799,0,0,0,-0,100,0,0,70,false,false,false
42,42,Preheating,41.9,600,22.8,22.9803203047,20,20.035773479,60,101.3,101.3,101.3,0,49.9902538847,0.9996102314,7.8453898236,70.5528508912,0.9995836562,140,0.0073152,0.0000365617,0.0624166667,0.0029232648,0.0468346829,1.9800673535,0.0072442826,0,0,0,-0,100,0,0,70,false,false,false
43,43,Preheating,42.9,600,22.9,23.0474852614,20,20.042624501,60,101.3,101.3,101.3,0,49.9901337242,0.9996054268,7.8640283214,70.6321712433,0.9995785241,140,0.0071241644,0.0000356068,0.0639027778,0.0029592988,0.0463093924,1.9903677998,0.0072803167,0,0,0,-0,100,0,0,70,false,false,false
44,44,Preheating,43.9,600,22.9,23.1144885767,19.9,20.0497027018,60,101.3,101.3,101.3,0,49.9900166928,0.9996007474,7.8820229186,70.7015742844,0.9995735257,140,0.0069390809,0.0000346816,0.0653888889,0.0029943943,0.0457936255,2.000414978,0.0073154121,0,0,0,-0,100,0,0,70,false,false,false
45,45,Preheating,44.9,600,23,23.181331156,20,20.0570053862,60,101.3,101.3,101.3,0,49.9899026929,0.9995961893,7.8993946112,70.7614547912,0.9995686567,140,0.0067597755,0.0000337852,0.066875,0.0030285805,0.0452871853,2.0102167132,0.0073495984,0,0,0,-0,100,0,0,70,false,false,false
46,46,Preheating,45.9,600,23,23.2480138964,20.1,20.0645299155,60,101.3,101.3,101.3,0,49.9897916298,0.9995917485,7.9161636152,70.8121935367,0.9995639132,140,0.0065860796,0.000032917,0.0683611111,0.0030618859,0.0447898793,2.0197806044,0.0073829038,0,0,0,0,100,0,0,70,false,false,false
47,47,Preheating,46.9,600,23.1,23.3145376874,20.1,20.0722737047,60,101.3,101.3,101.3,0,49.9896834115,0.9995874216,7.932349402,70.8541577844,0.9995592912,140,0.0064178292,0.0000320759,0.0698472222,0.0030943381,0.0443015196,2.0291140314,0.0074153559,0,0,0,0,100,0,0,70,false,false,false
48,48,Preheating,47.9,600,23.1,23.3809034105,20,20.0802342223,60,101.3,101.3,101.3,0,49.9895779487,0.9995832048,7.9479707323,70.8877017653,0.999554787,140,0.0062548657,0.0000312613,0.0713333333,0.0031259638,0.0438219225,2.0382241609,0.0074469816,0,0,0,-0,100,0,0,70,false,false,false
49,49,Preheating,48.9,600,23.3,23.4471119397,20,20.0884089877,60,101.3,101.3,101.3,0,49.9894751547,0.9995790948,7.9630456871,70.913167137,0.9995503967,140,0.0060970347,0.0000304723,0.0728194444,0.0031567891,0.0433509088,2.047117953,0.0074778069,0,0,0,-0,100,0,0,70,false,false,false
50,50,Preheating,49.9,600,23.3,23.5131641414,20,20.0967955706,60,101.3,101.3,101.3,0,49.9893749453,0.9995750881,7.9775916984,70.9308834254,0.9995461168,140,0.0059441868,0.0000297083,0.0743055556,0.0031868392,0.0428883031,2.0558021672,0.007507857,0,0,0,-0,100,0,0,70,false,false,false
51,51,Preheating,50.9,600,23.4,23.5790608745,20,20.1053915893,60,101.3,101.3,101.3,0,49.9892772389,0.9995711815,7.9916255764,70.9411684515,0.9995419439,140,0.0057961765,0.0000289685,0.0757916667,0.0032161386,0.0424339344,2.0642833682,0.0075371565,0,0,0,-0,100,0,0,70,false,false,false
